date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2019-03-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-04-15,Maize (white) - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-05-15,Maize (white) - Retail,KG,cereals and tubers,1300.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-06-15,Maize (white) - Retail,KG,cereals and tubers,1312.5,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-07-15,Maize (white) - Retail,KG,cereals and tubers,1400.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-08-15,Maize (white) - Retail,KG,cereals and tubers,1300.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-09-15,Maize (white) - Retail,KG,cereals and tubers,950.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-10-15,Maize (white) - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-11-15,Maize (white) - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2019-12-15,Maize (white) - Retail,KG,cereals and tubers,1100.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2020-01-15,Maize (white) - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2020-02-15,Maize (white) - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Abim,743,Makaratin,2343,67,15,5,1,2343_67_15_5,
2018-10-15,Millet - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2018-11-15,Millet - Retail,KG,cereals and tubers,1350.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-01-15,Millet - Retail,KG,cereals and tubers,1450.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-02-15,Millet - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-03-15,Millet - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-04-15,Millet - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-05-15,Millet - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-10-15,Millet - Retail,KG,cereals and tubers,1625.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-11-15,Millet - Retail,KG,cereals and tubers,1625.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2019-12-15,Millet - Retail,KG,cereals and tubers,1600.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2020-01-15,Millet - Retail,KG,cereals and tubers,1075.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2020-02-15,Millet - Retail,KG,cereals and tubers,1000.0,UGX,Uganda,Abim,743,Makaratin,2343,73,15,5,1,2343_73_15_5,
2018-10-15,Cassava flour - Retail,KG,cereals and tubers,700.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2018-11-15,Cassava flour - Retail,KG,cereals and tubers,800.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-01-15,Cassava flour - Retail,KG,cereals and tubers,900.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-02-15,Cassava flour - Retail,KG,cereals and tubers,900.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-03-15,Cassava flour - Retail,KG,cereals and tubers,975.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-04-15,Cassava flour - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-05-15,Cassava flour - Retail,KG,cereals and tubers,1433.3333,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-06-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-07-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-08-15,Cassava flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-09-15,Cassava flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-10-15,Cassava flour - Retail,KG,cereals and tubers,2100.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-11-15,Cassava flour - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2019-12-15,Cassava flour - Retail,KG,cereals and tubers,1800.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2020-01-15,Cassava flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2020-02-15,Cassava flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,74,15,5,1,2343_74_15_5,
2018-10-15,Maize flour - Retail,KG,cereals and tubers,1200.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2018-11-15,Maize flour - Retail,KG,cereals and tubers,1350.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-01-15,Maize flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-02-15,Maize flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-03-15,Maize flour - Retail,KG,cereals and tubers,1500.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-04-15,Maize flour - Retail,KG,cereals and tubers,2000.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-05-15,Maize flour - Retail,KG,cereals and tubers,2200.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
2019-06-15,Maize flour - Retail,KG,cereals and tubers,2100.0,UGX,Uganda,Abim,743,Makaratin,2343,76,15,5,1,2343_76_15_5,
